,College,percent of students first-generation,percent of students in-state,percent of students international,percent of students registered with disabilities,percent of students male,percent of students female,percent of students American Indian or Alaskan native,percent Asian,percent Black,percent Hispanic/Latino,percent Native Hawaiian/Pac Islander,percent Two or more races,percent Unknown,percent White
82,Northeastern University,19.0,24,16,,49,51,0,17,4,9,0,5,3,45
83,Northwestern University,15.0,28,10,9.0,47,53,0,19,6,13,0,6,4,42
84,Oberlin College,9.0,6,12,30.0,41,59,0,5,6,8,0,9,1,59
85,Occidental College,18.0,46,6,17.0,41,59,0,15,4,16,0,10,1,47
86,Ohio State University-Main Campus,26.0,74,7,,50,50,0,8,7,5,0,4,3,66
87,Ohio University-Main Campus,34.0,86,2,5.0,39,61,0,2,6,4,0,4,2,81
88,Oklahoma State University-Main Campus,29.0,65,3,4.0,49,51,4,2,4,9,0,10,0,68
89,Oregon State University,31.0,72,6,,52,48,1,8,2,12,0,7,3,62
90,Pepperdine University,18.0,50,10,16.0,42,58,0,12,5,16,0,7,1,48
91,Pomona College,30.0,34,11,14.0,42,58,0,18,11,18,0,7,4,30
92,Princeton University,28.0,20,12,6.0,46,54,0,25,9,11,0,6,2,36
93,Purdue University-Main Campus,19.0,55,12,7.0,58,42,0,10,3,6,0,4,1,64
94,Quinnipiac University,20.0,27,2,11.0,38,62,0,4,4,10,0,3,3,75
95,Reed College,,10,11,22.0,47,53,0,7,1,11,0,10,2,58
96,Rensselaer Polytechnic Institute,14.0,34,16,4.0,69,31,0,17,5,11,0,5,3,44
97,Rhodes College,13.0,26,6,16.0,40,60,0,7,10,6,0,5,1,64
98,Rice University,14.0,45,12,8.0,52,48,0,27,8,16,0,5,1,31
99,Rochester Institute of Technology,19.0,47,5,15.0,66,34,0,10,5,8,0,4,8,61
100,Rose-Hulman Institute of Technology,14.0,30,11,10.0,76,24,0,6,5,5,0,5,1,66
101,Rutgers University-New Brunswick,35.0,94,10,,50,50,0,30,6,13,0,4,2,35
102,Saint Louis University,22.0,34,4,5.0,39,61,0,11,6,7,0,4,1,66
103,Samford University,14.0,24,1,10.0,32,68,0,1,6,4,0,2,0,86
